columns name,data type ,non-null values,null values,unique values
Order_ID,object,5000,0,5000
Customer_ID,object,5000,0,5000
Date,object,5000,0,451
Age,int64,5000,0,57
Gender,object,5000,0,3
City,object,5000,0,10
Product_Category,object,5000,0,8
Unit_Price,float64,5000,0,4785
Quantity,int64,5000,0,5
Discount_Amount,float64,5000,0,1405
Total_Amount,float64,5000,0,4868
Payment_Method,object,5000,0,5
Device_Type,object,5000,0,3
Session_Duration_Minutes,int64,5000,0,58
Pages_Viewed,int64,5000,0,22
Is_Returning_Customer,bool,5000,0,2
Delivery_Time_Days,int64,5000,0,25
Customer_Rating,int64,5000,0,5
